,CN,HT,SITREE,common_name,scientific_name
200986,15364499010497,22.0,29.0,Shasta red fir,Abies shastensis
199963,15364813010497,43.0,53.0,Shasta red fir,Abies shastensis
201037,15364553010497,44.0,29.0,Shasta red fir,Abies shastensis
200036,15364887010497,64.0,53.0,Shasta red fir,Abies shastensis
200064,15364915010497,65.0,53.0,Shasta red fir,Abies shastensis
201043,15364559010497,23.0,29.0,Shasta red fir,Abies shastensis
200997,15364511010497,94.0,29.0,Shasta red fir,Abies shastensis
200586,15363391010497,21.0,44.0,Shasta red fir,Abies shastensis
200073,15364924010497,29.0,53.0,Shasta red fir,Abies shastensis
200998,15364513010497,35.0,29.0,Shasta red fir,Abies shastensis
199969,15364819010497,107.0,53.0,Shasta red fir,Abies shastensis
201011,15364526010497,90.0,29.0,Shasta red fir,Abies shastensis
200042,15364893010497,69.0,53.0,Shasta red fir,Abies shastensis
200050,15364901010497,36.0,53.0,Shasta red fir,Abies shastensis
201049,15364565010497,96.0,29.0,Shasta red fir,Abies shastensis
200008,15364858010497,32.0,53.0,Shasta red fir,Abies shastensis
200070,15364921010497,48.0,53.0,Shasta red fir,Abies shastensis
200065,15364916010497,58.0,53.0,Shasta red fir,Abies shastensis
199972,15364822010497,53.0,53.0,Shasta red fir,Abies shastensis
199973,15364823010497,63.0,53.0,Shasta red fir,Abies shastensis
200077,15364928010497,30.0,53.0,Shasta red fir,Abies shastensis
200518,15365729010497,74.0,50.0,Shasta red fir,Abies shastensis
199964,15364814010497,42.0,53.0,Shasta red fir,Abies shastensis
199990,15364840010497,63.0,53.0,Shasta red fir,Abies shastensis
200076,15364927010497,89.0,53.0,Shasta red fir,Abies shastensis
201013,15364528010497,24.0,29.0,Shasta red fir,Abies shastensis
199989,15364839010497,41.0,53.0,Shasta red fir,Abies shastensis
200091,15364942010497,87.0,53.0,Shasta red fir,Abies shastensis
200541,15365752010497,83.0,50.0,Shasta red fir,Abies shastensis
195892,15336799010497,62.0,84.0,Pacific madrone,Arbutus menziesii
198101,15319494010497,60.0,107.0,Pacific madrone,Arbutus menziesii
206375,15382228010497,37.0,158.0,Pacific madrone,Arbutus menziesii
196582,15295392010497,100.0,92.0,Pacific madrone,Arbutus menziesii
201143,15368634010497,53.0,71.0,Pacific madrone,Arbutus menziesii
195841,15296138010497,21.0,95.0,Pacific madrone,Arbutus menziesii
201924,15652299010497,25.0,53.0,Pacific madrone,Arbutus menziesii
197401,15305862010497,46.0,102.0,Pacific madrone,Arbutus menziesii
197079,15303349010497,42.0,77.0,Pacific madrone,Arbutus menziesii
197453,15305914010497,63.0,102.0,Pacific madrone,Arbutus menziesii
204048,15298544010497,37.0,55.0,Pacific madrone,Arbutus menziesii
202916,15373076010497,66.0,108.0,Pacific madrone,Arbutus menziesii
196566,15295375010497,95.0,92.0,Pacific madrone,Arbutus menziesii
206707,15650151010497,40.0,87.0,Pacific madrone,Arbutus menziesii
202070,15373621010497,42.0,78.0,Pacific madrone,Arbutus menziesii
202307,15385631010497,35.0,64.0,Pacific madrone,Arbutus menziesii
196981,15305518010497,40.0,81.0,Pacific madrone,Arbutus menziesii
198002,15319658010497,33.0,63.0,Pacific madrone,Arbutus menziesii
206386,15382239010497,48.0,158.0,Pacific madrone,Arbutus menziesii
197368,48717261010497,45.0,94.0,Pacific madrone,Arbutus menziesii
204081,15298577010497,45.0,55.0,Pacific madrone,Arbutus menziesii
196787,15327065010497,58.0,67.0,Pacific madrone,Arbutus menziesii
202090,15373641010497,24.0,78.0,Pacific madrone,Arbutus menziesii
196770,15327048010497,40.0,67.0,Pacific madrone,Arbutus menziesii
196180,15337833010497,38.0,112.0,Pacific madrone,Arbutus menziesii
202063,15373614010497,40.0,78.0,Pacific madrone,Arbutus menziesii
195829,15296126010497,48.0,95.0,Pacific madrone,Arbutus menziesii
196176,15337826010497,78.0,112.0,Pacific madrone,Arbutus menziesii
202068,15373619010497,25.0,78.0,Pacific madrone,Arbutus menziesii
201957,15652332010497,33.0,53.0,Pacific madrone,Arbutus menziesii
200166,15367163010497,59.0,77.0,Pacific madrone,Arbutus menziesii
203133,15374495010497,52.0,87.0,Pacific madrone,Arbutus menziesii
195839,15296136010497,28.0,95.0,Pacific madrone,Arbutus menziesii
197422,15305883010497,53.0,102.0,Pacific madrone,Arbutus menziesii
196800,15327078010497,43.0,67.0,Pacific madrone,Arbutus menziesii
195285,15330584010497,86.0,74.0,Pacific madrone,Arbutus menziesii
206672,15650113010497,68.0,87.0,Pacific madrone,Arbutus menziesii
197467,15305928010497,77.0,102.0,Pacific madrone,Arbutus menziesii
204067,15298563010497,29.0,55.0,Pacific madrone,Arbutus menziesii
204052,15298548010497,26.0,55.0,Pacific madrone,Arbutus menziesii
197104,15303376010497,35.0,77.0,Pacific madrone,Arbutus menziesii
197377,48717277010497,50.0,94.0,Pacific madrone,Arbutus menziesii
195279,15330578010497,43.0,74.0,Pacific madrone,Arbutus menziesii
203125,15374487010497,52.0,87.0,Pacific madrone,Arbutus menziesii
201665,15321573010497,28.0,82.0,Pacific madrone,Arbutus menziesii
195309,15330608010497,40.0,74.0,Pacific madrone,Arbutus menziesii
195832,15296129010497,34.0,95.0,Pacific madrone,Arbutus menziesii
202304,15385628010497,26.0,64.0,Pacific madrone,Arbutus menziesii
204080,15298576010497,33.0,55.0,Pacific madrone,Arbutus menziesii
